person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_bracket,loan_to_income_pct,dti_risk_band,loan_status_label,has_prior_default,credit_hist_ratio,predicted_default_probability,predicted_risk_tier
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,18-25,<25K,10.42,Very Low,Non-Default,0,0.5,0.458,Moderate
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,18-25,<25K,57.29,Very High,Default,0,0.38,0.9643,Very High
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,18-25,50-75K,53.44,Very High,Default,0,0.33,0.9666,Very High
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,18-25,50-75K,64.34,Very High,Default,1,0.57,0.9728,Very High
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,18-25,<25K,25.25,Moderate,Default,0,0.5,0.9374,Very High
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,26-35,75-100K,45.4,Very High,Default,0,0.33,0.9555,Very High
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,18-25,75-100K,44.33,Very High,Default,0,0.57,0.9542,Very High
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,18-25,75-100K,42.17,Very High,Default,0,0.29,0.9375,Very High
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,18-25,<25K,16.0,Low,Default,0,0.75,0.7099,High
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,18-25,75-100K,41.18,Very High,Default,0,0.8,0.9371,Very High
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,18-25,<25K,45.0,Very High,Default,0,0.5,0.9605,Very High
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,18-25,75-100K,36.84,High,Default,0,0.33,0.8488,Very High
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,26-35,100-150K,32.36,High,Default,0,0.44,0.9268,Very High
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,18-25,100-150K,30.43,Moderate,Non-Default,0,0.67,0.1404,Very Low
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,18-25,150K+,6.0,Very Low,Non-Default,0,0.5,0.1484,Very Low
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,18-25,100-150K,29.17,Moderate,Non-Default,0,0.67,0.1486,Very Low
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,18-25,75-100K,38.0,High,Default,0,0.67,0.9251,Very High
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,18-25,100-150K,30.97,High,Default,0,0.67,0.962,Very High
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,18-25,<25K,16.2,Low,Default,0,0.29,0.8737,Very High
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,18-25,150K+,21.54,Moderate,Non-Default,0,0.5,0.055,Very Low
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,18-25,100-150K,25.4,Moderate,Non-Default,1,0.25,0.4643,Moderate
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,18-25,50-75K,52.31,Very High,Default,0,0.8,0.9818,Very High
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,18-25,<25K,13.66,Low,Non-Default,0,0.43,0.282,Low
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,18-25,75-100K,42.44,Very High,Default,1,0.8,0.9112,Very High
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,18-25,50-75K,48.71,Very High,Default,0,0.43,0.9768,Very High
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,18-25,<25K,41.59,Very High,Default,1,0.75,0.8979,Very High
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,18-25,<25K,12.73,Low,Non-Default,0,0.5,0.2988,Low
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,18-25,50-75K,50.0,Very High,Default,0,0.43,0.9656,Very High
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,18-25,<25K,35.12,High,Default,1,0.5,0.9506,Very High
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,18-25,<25K,17.36,Low,Default,0,0.75,0.8942,Very High
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,18-25,100-150K,26.67,Moderate,Non-Default,0,0.25,0.0606,Very Low
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,26-35,75-100K,32.68,High,Default,1,0.33,0.9288,Very High
