trend_month,loan_volume,default_rate_pct,avg_loan_amount,total_originated
2023-01,1013,24.28,9635.46,9760725.0
2023-02,945,22.86,9568.68,9042400.0
2023-03,936,21.79,9701.9,9080975.0
2023-04,876,19.86,9866.95,8643450.0
2023-05,756,22.62,10038.16,7588850.0
2023-06,735,25.03,9430.99,6931775.0
2023-07,762,23.88,9984.19,7607950.0
2023-08,791,23.01,9233.79,7303925.0
2023-09,883,22.08,9352.38,8258150.0
2023-10,908,22.03,9470.1,8598850.0
2023-11,1053,21.75,9690.34,10203925.0
2023-12,1102,22.6,9625.73,10607550.0
2024-01,1051,22.36,9471.31,9954350.0
2024-02,933,22.4,9864.39,9203475.0
2024-03,948,19.41,9263.34,8781650.0
2024-04,832,22.0,9584.5,7974300.0
2024-05,820,22.68,9849.36,8076475.0
2024-06,732,17.9,9235.79,6760600.0
2024-07,818,21.27,9372.86,7667000.0
2024-08,808,22.28,9409.99,7603275.0
2024-09,800,21.13,9400.72,7520575.0
2024-10,946,21.99,9647.89,9126900.0
2024-11,1071,22.32,9548.69,10226650.0
2024-12,1128,23.76,9291.18,10480450.0
2025-01,1055,20.09,9418.36,9936375.0
2025-02,947,22.39,9760.9,9243575.0
2025-03,865,19.31,9664.54,8359825.0
2025-04,847,20.43,9859.92,8351350.0
2025-05,781,20.74,9663.73,7547375.0
2025-06,786,22.77,9831.55,7727600.0
2025-07,753,20.72,9514.08,7164100.0
2025-08,789,19.77,9485.33,7483925.0
2025-09,856,22.78,9917.0,8488950.0
2025-10,905,22.21,9329.5,8443200.0
2025-11,1026,23.0,9769.79,10023800.0
2025-12,1142,21.1,9654.23,11025125.0
