loan_grade,person_home_ownership,loan_count,default_rate_pct
A,MORTGAGE,5411,4.4
A,OTHER,26,11.54
A,OWN,916,7.1
A,RENT,4342,17.5
B,MORTGAGE,4025,8.02
B,OTHER,33,15.15
B,OWN,797,4.27
B,RENT,5529,24.11
C,MORTGAGE,2248,14.28
C,OTHER,17,35.29
C,OWN,492,6.3
C,RENT,3676,26.61
D,MORTGAGE,1210,45.62
D,OTHER,20,55.0
D,OWN,280,6.43
D,RENT,2109,73.78
E,MORTGAGE,338,47.63
E,OTHER,8,75.0
E,OWN,57,54.39
E,RENT,560,75.54
F,MORTGAGE,97,62.89
F,OTHER,2,100.0
F,OWN,15,53.33
F,RENT,127,77.95
G,MORTGAGE,31,100.0
G,OWN,5,100.0
G,RENT,28,96.43
